%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
524	331.51	213.223	0	0	1679.5	0.22825	0.636956	1519743957826
525	334.516	210.639	0	0	1599	0.389616	0.686393	1519743957871
526	337.097	207.935	0	0	1665	0.776217	0.686233	1519743957918
527	342.202	202.197	0	0	1659	0.559243	0.702492	1519743957971
528	344.317	199.543	0	0	1682	0.603932	0.698723	1519743958016
529	349.234	194.228	0	0	1691	0.618455	0.647915	1519743958062
530	352.124	190.952	0	0	1673	0.344558	0.697736	1519743958107
531	358.125	185.757	0	0	1662.5	0.319958	0.635291	1519743958153
532	361.177	183.537	0	0	1701.5	0.424441	0.609204	1519743958199
533	363.35	180.606	0	0	1741.5	0.47188	0.715772	1519743958244
534	366.01	178.748	0	0	1658.5	0.353791	0.604455	1519743958290
535	371.136	173.849	0	0	1740	0.570654	0.629214	1519743958336
536	373.968	171.123	0	0	1722.5	0.548639	0.670416	1519743958382
537	379.293	166.473	0	0	1676.5	0.247651	0.63244	1519743958428
538	381.496	163.771	0	0	1748.5	0.765058	0.662089	1519743958474
539	386.014	158.644	0	0	1740	0.637628	0.681666	1519743958520
540	388.841	155.584	0	0	1767	0.958527	0.554703	1519743958565
541	391.473	153.599	0	0	1766	1.10236	0.546087	1519743958610
542	394.6	150.44	0	0	1808.5	0.82872	0.602762	1519743958656
543	400.797	145.112	0	0	1903	2.3248	0.631751	1519743958701
544	402.711	142.514	0	0	1848.5	2.05574	0.639024	1519743958748
545	408.111	137.585	0	0	1906.5	2.29337	0.667251	1519743958797
546	411.526	134.194	0	0	1871	-0.48018	0.656508	1519743958843
547	414.52	131.894	0	0	1919.5	-0.711457	0.683709	1519743958889
548	420.336	127.735	0	0	1984.5	-0.0686915	0.56193	1519743958935
549	422.583	125.356	0	0	1934	-0.183893	0.636608	1519743958989
550	428.365	122.233	0	0	2103	0.331317	0.584886	1519743959036
551	430.864	119.224	0	0	2053.5	0.140779	0.68101	1519743959081
552	436.986	115.668	0	0	2117.5	0.626892	0.517261	1519743959127
553	440.681	113.837	0	0	2024.5	0.930772	0.677145	1519743959173
554	442.882	111.615	0	0	1819	1.18168	0.675683	1519743959220
555	445.789	109.962	0	0	1952	1.00314	0.607734	1519743959266
556	450.917	106.263	0	0	1952.5	0.770442	0.647515	1519743959311
557	453.756	104.054	0	0	1858.5	0.986272	0.653797	1519743959357
558	459.747	99.4933	0	0	1732	1.15841	0.743485	1519743959404
559	462.227	96.9695	0	0	1717.5	1.19637	0.695416	1519743959450
560	468.755	90.7738	0	0	2322	0.703035	0.788113	1519743959496
561	471.498	88.4964	0	0	2325.5	0.622012	0.784515	1519743959542
562	474.171	86.2341	0	0	2331	0.798771	0.800893	1519743959588
563	476.815	84.1292	0	0	2329.5	0.843282	0.79835	1519743959634
564	482.74	79.6873	0	0	2311.5	0.736926	0.779792	1519743959681
565	485.372	77.5947	0	0	2317.5	0.723214	0.798279	1519743959727
566	490.733	73.7019	0	0	2306.5	0.807453	0.778106	1519743959773
567	492.91	72.0437	0	0	2318.5	0.974608	0.791739	1519743959820
568	497.932	68.599	0	0	2319.5	1.06102	0.769224	1519743959865
569	500.828	66.6877	0	0	2315	0.878924	0.779013	1519743959911
570	503.487	64.7687	0	0	2291	0.807164	0.768205	1519743959963
571	508.93	62.0359	0	0	2314	0.97456	0.78145	1519743960010
572	511.782	60.4786	0	0	2316.5	1.09262	0.791056	1519743960054
573	517.193	57.4127	0	0	2290	0.96376	0.793669	1519743960099
574	519.61	56.2501	0	0	2299	0.994372	0.793923	1519743960144
575	521.963	55.0272	0	0	2286.5	0.840699	0.804362	1519743960190
576	527.24	52.6122	0	0	2289.5	0.903392	0.785808	1519743960235
577	530.211	51.3895	0	0	2298	0.896231	0.786728	1519743960281
578	533.157	50.3105	0	0	2301	1.00109	0.771558	1519743960327
579	538.915	48.3112	0	0	2273.5	1.03258	0.789963	1519743960373
580	541.904	47.3047	0	0	2287.5	0.929785	0.7989	1519743960419
581	544.567	46.6613	0	0	2267.5	1.12477	0.762235	1519743960464
582	549.842	45.2147	0	0	2285	1.04412	0.789089	1519743960509
583	552.479	44.9141	0	0	2259.5	1.28268	0.791985	1519743960554
584	554.691	44.4544	0	0	2279	1.45947	0.766899	1519743960600
585	560.486	43.6113	0	0	2267.5	1.48078	0.737825	1519743960645
