%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
236	291.357	193.237	0	0	2714	1.24979	0.834029	1523020143987
237	294.85	194.658	0	0	2716	1.19828	0.81177	1523020144019
238	298.534	196.145	0	0	2707.5	1.2496	0.836874	1523020144051
239	302.102	197.773	0	0	2702.5	1.28829	0.869493	1523020144082
240	305.418	199.018	0	0	2697	1.47434	0.852491	1523020144114
241	307.955	200.037	0	0	2694	1.50392	0.861642	1523020144146
242	310.979	201.403	0	0	2705.5	1.48035	0.8531	1523020144178
243	314.147	202.831	0	0	2695	1.49899	0.835019	1523020144210
244	317.595	204.338	0	0	2689.5	1.45964	0.850979	1523020144242
245	320.963	205.9	0	0	2692.5	1.39208	0.866276	1523020144274
246	324.762	207.428	0	0	2691.5	1.32982	0.86897	1523020144306
247	328.541	208.942	0	0	2689.5	1.51586	0.883098	1523020144354
248	331.717	210.167	0	0	2686.5	1.64987	0.882113	1523020144387
283	348.684	109.893	0	0	2766.5	1.58993	0.852207	1523020145556
284	352.015	111.982	0	0	2775.5	1.45848	0.860821	1523020145587
285	355.735	114.132	0	0	2763	1.54123	0.839331	1523020145620
286	359.504	116.359	0	0	2755.5	1.5732	0.848818	1523020145650
287	363.154	118.432	0	0	2748	1.67651	0.841618	1523020145682
288	366.475	120.393	0	0	2750.5	1.63626	0.847278	1523020145715
289	369.634	122.26	0	0	2748	1.63065	0.858491	1523020145747
290	373.398	124.398	0	0	2743	1.73892	0.849892	1523020145794
291	376.904	126.384	0	0	2735.5	1.7245	0.859601	1523020145826
292	380.277	128.346	0	0	2736.5	1.77695	0.859915	1523020145858
293	384.116	130.535	0	0	2740.5	1.73739	0.847074	1523020145890
294	387.641	132.597	0	0	2733.5	1.82398	0.861929	1523020145922
295	390.836	134.486	0	0	2731	1.72737	0.863238	1523020145954
296	394.476	136.502	0	0	2732	1.74512	0.863554	1523020145987
297	398.351	138.485	0	0	2735	1.83323	0.857362	1523020146020
298	401.806	140.421	0	0	2727.5	1.78808	0.870224	1523020146051
299	405.973	142.525	0	0	2734	1.83289	0.86717	1523020146082
300	409.756	144.396	0	0	2716.5	1.81356	0.873997	1523020146115
301	413.053	146.08	0	0	2728.5	1.96681	0.877858	1523020146163
302	416.443	147.912	0	0	2729.5	1.96105	0.87818	1523020146195
303	420.161	149.739	0	0	2726	1.99566	0.874904	1523020146227
304	423.951	151.521	0	0	2724.5	1.95693	0.869267	1523020146259
305	427.77	153.362	0	0	2706	2.05971	0.868485	1523020146291
306	431.193	155	0	0	2703	2.11396	0.874834	1523020146323
307	435.098	156.785	0	0	2701	2.08126	0.874186	1523020146355
308	439.087	158.531	0	0	2696	2.20639	0.872568	1523020146388
309	442.526	160.121	0	0	2701	2.20345	0.884678	1523020146420
310	445.808	161.515	0	0	2706	-0.747228	0.86548	1523020146451
311	449.389	163.158	0	0	2707.5	2.29232	0.871102	1523020146483
312	453.384	164.8	0	0	2708.5	2.29409	0.881851	1523020146530
313	457.119	166.174	0	0	2713.5	-0.709864	0.865757	1523020146563
314	460.616	167.498	0	0	2709.5	-0.654024	0.871745	1523020146594
315	464.428	168.742	0	0	2704.5	-0.720037	0.870137	1523020146626
316	468.398	170.302	0	0	2726	-0.608969	0.847511	1523020146658
317	472.075	171.623	0	0	2710	-0.480354	0.866759	1523020146690
318	475.245	172.829	0	0	2713.5	-0.533189	0.873032	1523020146722
319	479.121	174.23	0	0	2718	-0.593027	0.862095	1523020146754
320	482.546	175.539	0	0	2726	-0.436976	0.864632	1523020146787
321	485.943	176.807	0	0	2724	-0.516392	0.871237	1523020146821
322	489.572	178.018	0	0	2727	-0.353525	0.857792	1523020146851
323	493.622	179.445	0	0	2731	-0.337058	0.866218	1523020146898
324	497.325	180.654	0	0	2736	-0.386236	0.857675	1523020146930
325	501.495	182.155	0	0	2736	-0.273005	0.857675	1523020146962
326	505.182	183.284	0	0	2734	-0.300009	0.857048	1523020146994
327	508.734	184.433	0	0	2739.5	-0.304883	0.846765	1523020147026
328	512.422	185.527	0	0	2739.5	-0.252274	0.856694	1523020147058
329	516.36	186.665	0	0	2741.5	-0.289459	0.847383	1523020147090
330	519.876	187.72	0	0	2747	-0.252492	0.85404	1523020147122
